-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$ModVersion{}{}	Completionist Version:{}{}
-----------------------------------------------------------------------------------------------------------------------------------------

$DoomStoneHighlightVanilla00	~~~ The Apprentice Stone ~~~     \nBuff: Regenerate Magicka 100% faster but gain a 100% weakness to Magic.
$DoomStoneHighlightVanilla01	~~~ The Atronach Stone ~~~       \nBuff: Increases Magicka by 50 points, absorb 50% of the magicka from hostile spells and Magicka regenerates 50% slower.
$DoomStoneHighlightVanilla02	~~~ The Lady Stone ~~~           \nBuff: Health and Stamina regenerate 25% faster.
$DoomStoneHighlightVanilla03	~~~ The Lord Stone ~~~           \nBuff: Increases Armor Rating by 50 points and increases Magic Resistance by 25%.
$DoomStoneHighlightVanilla04	~~~ The Lover Stone ~~~          \nBuff: All skills improve 15% faster.
$DoomStoneHighlightVanilla05	~~~ The Mage Stone ~~~           \nBuff: All magic skills improve 20% faster.
$DoomStoneHighlightVanilla06	~~~ The Ritual Stone ~~~         \nBuff: Raises all dead around you to fight for you for 200 seconds.
$DoomStoneHighlightVanilla07	~~~ The Serpent Stone ~~~        \nBuff: Paralyzes and does 25 points of damage per second to the target for 5 seconds.
$DoomStoneHighlightVanilla08	~~~ The Shadow Stone ~~~         \nBuff: Become invisible for 60 seconds. Activating an object or attacking will break the spell.
$DoomStoneHighlightVanilla09	~~~ The Steed Stone ~~~          \nBuff: Carry capacity increased by 100 points, armor weighs nothing and doesn't slow you down when worn.
$DoomStoneHighlightVanilla10	~~~ The Thief Stone ~~~          \nBuff: All stealth skills increase 20% faster.
$DoomStoneHighlightVanilla11	~~~ The Tower Stone ~~~          \nBuff: Unlock any Expert level lock once per day.
$DoomStoneHighlightVanilla12	~~~ The Warrior Stone ~~~        \nBuff: All combat skills increase 20% faster.

$DoomStoneHighlightAndromeda00	~~~ The Apprentice Stone ~~~     \nBuff 1: Novice spells cost no Magicka and all other spells cost 15% less Magicka.                                            \nBuff 2: Spells you cast are either 50% more effective or 50% less effective than intended. (The former is more likely.)      \nUnlockable: 1/day - For 30 seconds, prevent a killing blow by annihilating the attacker. No effect on massive targets. 
$DoomStoneHighlightAndromeda01	~~~ The Atronach Stone ~~~       \nBuff 1: Magicka does not regenerate. Each death within 50 feet restores Magicka equal to 20 times their level.               \nBuff 2: If you have Magicka remaining, spells are 25% more effective and cost 50% less Magicka.                              \nUnlockable: 1/day - Paralyzes a living target, absorbing 50 Magicka for 10 seconds. When depleted, absorbs Health instead.
$DoomStoneHighlightAndromeda02	~~~ The Lady Stone ~~~           \nBuff 1: When entering combat, summons a Lunar Familiar under your control for 60 seconds.                                    \nBuff 2: Pale light marks enemies who can kill you with their next strike, slowing them and reducing armor by 500 points.     \nUnlockable: 1/day - Commands your Lunar Familiar to fight the target. It deals 300% more damage and takes 50% less damage.
$DoomStoneHighlightAndromeda03	~~~ The Lord Stone ~~~           \nBuff 1: Stamina does not regenerate in combat, but power attacks deal 20% more damage and stagger.                           \nBuff 2: The Lord graciously allows you to power attack when out of Stamina, dealing 30% less damage and stagger.             \nUnlockable: 1/day - Throws targets to the ground, dealing 15 magic damage and absorbing that much Stamina for 10 seconds.
$DoomStoneHighlightAndromeda04	~~~ The Lover Stone ~~~          \nBuff 1: The Lover periodically gifts you a random enchanted weapon or armor.                                                 \nBuff 2: Cheat death when slain, returning to life with full Health. This effect has a 15 minute cooldown.                    \nUnlockable: At will - Target is magically bonded to you and can be called to your location with the Lover's Call power.
$DoomStoneHighlightAndromeda05	~~~ The Mage Stone ~~~           \nBuff 1: Spells are 10% more effective. Scrolls are 20% more effective.                                                       \nBuff 2: Learn all Mage skills 10% faster.                                                                                    \nUnlockable: 1/day - Choose one of three random schools of magic. Spells are twice as effective and cost half as much for 60 seconds.
$DoomStoneHighlightAndromeda06	~~~ The Ritual Stone ~~~         \nBuff 1: Approach a violently slain corpse to gather its memories, summoning it as a vengeful spirit in your next battle.     \nBuff 2: Reanimation spells last 20% longer and work on targets up to 10 levels higher.                                       \nUnlockable: 1/day - Vengeful spirits gain 1000 points of Health. They move and attack 50% faster. Lasts 45 seconds.
$DoomStoneHighlightAndromeda07	~~~ The Serpent Stone ~~~        \nBuff 1: Sneaking now costs 10 Magicka per second but you move 25% faster while sneaking.                                     \nBuff 2: If you have Magicka remaining, sneaking and sneak attacks are 40% more effective (20% for projectiles).              \nUnlockable: 1/day - Silently steals all Magicka and Stamina from targets and prevents regeneration for 20 seconds.
$DoomStoneHighlightAndromeda08	~~~ The Shadow Stone ~~~         \nBuff 1: The Shadow increases movement speed by 20% in combat.                                                                \nBuff 2: When near a wall or obstacle, sneaking and sneak attacks are 20% more effective.                                     \nUnlockable: At will - Expend 50 points of Stamina to dash to a nearby target within 75 feet.
$DoomStoneHighlightAndromeda09	~~~ The Steed Stone ~~~          \nBuff 1: The Steed increases carry weight by 50 points and adds random nearby landmarks to the map.                           \nBuff 2: When out of combat, the Steed increases movement speed by 40% and you regenerate Stamina 50% faster.                 \nUnlockable: At will - Open an extradimensional storage space to stash or retrieve items.
$DoomStoneHighlightAndromeda10	~~~ The Thief Stone ~~~          \nBuff 1: Sneaking and sneak attacks are 10% more effective.                                                                   \nBuff 2: Learn all Thief skills 10% faster.                                                                                   \nUnlockable: 1/day - Find more loot on enemies you kill within 30 seconds. Especially violent kills result in even more loot.
$DoomStoneHighlightAndromeda11	~~~ The Tower Stone ~~~          \nBuff 1: A quest leads to a hidden cache in Skyrim containing fabulous loot. Looting it indicates the next cache.             \nBuff 2: Open locked doors up to Adept level. Once a day, open any lock of up to Expert level.                                \nUnlockable: 1/day - Targets are lost in a mental maze, mindless but untouchable for 25 seconds. This is not a hostile effect.
$DoomStoneHighlightAndromeda12	~~~ The Warrior Stone ~~~        \nBuff 1: Power attacks do 15% more damage, and ranged weapons do up to 15% more damage based on distance.                     \nBuff 2: Learn all Warrior skills 10% faster.                                                                                 \nUnlockable: 1/day - Invoke the Warrior to refill Health and Stamina and fortify them by the amount restored for 30 seconds.

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$ShrineHighlightVanilla00	~~~ Akatosh ~~~     \nShrine blessing: Magicka regenerates 10% faster. Cure all diseases.
$ShrineHighlightVanilla01	~~~ Arkay ~~~       \nShrine blessing: Increases your health by 25 points. Cure all diseases.
$ShrineHighlightVanilla02	~~~ Auriel ~~~      \nShrine blessing: You are 10% more effective with missiles. Cure all diseases.
$ShrineHighlightVanilla03	~~~ Azura ~~~       \nShrine blessing: Resist 10% of magic. Cure all diseases.
$ShrineHighlightVanilla04	~~~ Boethiah ~~~    \nShrine blessing: One-handed weapons do 10% more damage. Cure all diseases.
$ShrineHighlightVanilla05	~~~ Dibella ~~~     \nShrine blessing: +10 Speechcraft. Cure all diseases.
$ShrineHighlightVanilla06	~~~ Julianos ~~~    \nShrine blessing: Increases your Magicka by 25 points. Cure all diseases.
$ShrineHighlightVanilla07	~~~ Kynareth ~~~    \nShrine blessing: Increases your stamina by 25 points. Cure all diseases.
$ShrineHighlightVanilla08	~~~ Mara ~~~        \nShrine blessing: Restoration spells cost 10% less magicka to cast. Cure all diseases.
$ShrineHighlightVanilla09	~~~ Mephala ~~~     \nShrine blessing: Prices are 10% better. Cure all diseases.
$ShrineHighlightVanilla10	~~~ Nocturnal ~~~   \nShrine blessing: You are 10% harder to detect. Cure all diseases.
$ShrineHighlightVanilla11	~~~ Stendarr ~~~    \nShrine blessing: Block 10% more damage with your shield. Cure all diseases.
$ShrineHighlightVanilla12	~~~ Talos ~~~       \nShrine blessing: Time between shouts is reduced 20%. Cure all diseases.
$ShrineHighlightVanilla13	~~~ Zenithar ~~~    \nShrine blessing: Prices are 10% better. Cure all diseases.

$ShrineHighlightWintersun00	~~~ Hermaeus Mora ~~~             \nShrine blessing - Fortify Corpus: Spells and effects you cast on yourself last 15% longer.                           \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun01	~~~ Akatosh ~~~                   \nShrine blessing - Increased Experience: Learn all skills 10% faster.                                                 \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun02	~~~ Arkay ~~~                     \nShrine blessing - Fortify Health: Increases your Health by 25 points.                                                \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun03	~~~ Auriel ~~~                    \nShrine blessing - Fortify Archery: You are 10% more effective with missile weapons.                                  \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun04	~~~ Azura ~~~                     \nShrine blessing - Resist Magic: Resist 10% of magic.                                                                 \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun05	~~~ Baan Dar ~~~                  \nShrine blessing - Fortify Pickpocket: Pickpocketing is 10% easier.                                                   \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun06	~~~ Boethiah ~~~                  \nShrine blessing - Fortify One-Handed: You are 10% more effective with one-handed weapons.                            \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun07	~~~ Dibella ~~~                   \nShrine blessing - Fortify Speech: Prices are 10% better.                                                             \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun08	~~~ Ebonarm ~~~                   \nShrine blessing - Fortify Heavy Armor: Armor rating of heavy armor pieces is increased by 10%.                       \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun09	~~~ Hircine ~~~                   \nShrine blessing - Regenerate Stamina: Regenerate 2% of your maximum Stamina per second.                              \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun10	~~~ Jephre ~~~                    \nShrine blessing - Fortify Carry Weight: Carrying capacity increased by 25 points.                                    \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun11	~~~ Julianos ~~~                  \nShrine blessing - Fortify Magicka: Increases your Magicka by 25 points.                                              \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun12	~~~ Jyggalag ~~~                  \nShrine blessing - Daedra Slayer: Deal 15% more attack damage and critical damage against daedra.                     \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun13	~~~ Kynareth ~~~                  \nShrine blessing - Fortify Stamina: Increases your Stamina by 25 points.                                              \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun14	~~~ Leki ~~~                      \nShrine blessing - Fortify Light Armor: Armor rating of light armor pieces is increased by 10%.                       \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun15	~~~ Magnus ~~~                    \nShrine blessing - Spell Absorption: 10% chance to absorb a hostile spell and recharge your Magicka.                  \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun16	~~~ Malacath ~~~                  \nShrine blessing - Fortify Power Attacks: Your power attacks cost 15% less Stamina.                                   \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun17	~~~ Mannimarco ~~~                \nShrine blessing - Amplify Conjuration: Conjuration spells are 10% more effective.                                    \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun18	~~~ Mara ~~~                      \nShrine blessing - Fortify Restoration: Restoration spells cost 10% less to cast.                                     \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun19	~~~ Mehrunes Dagon ~~~            \nShrine blessing - Amplify Destruction: Destruction spells are 10% more effective.                                    \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun20	~~~ Mephala ~~~                   \nShrine blessing - Fortify Poisons: Poisons you mix are 15% more effective.                                           \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun21	~~~ Molag Bal ~~~                 \nShrine blessing - Fortify Destruction: Destruction spells cost 10% less to cast.                                     \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun22	~~~ Morwha ~~~                    \nShrine blessing - Fortify Healing: Healing spells restore 15% more Health.                                           \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun23	~~~ Namira ~~~                    \nShrine blessing - Resist Poison: Increases Poison Resistance by 50%.                                                 \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun24	~~~ Nocturnal ~~~                 \nShrine blessing - Fortify Sneak: You are 10% harder to detect.                                                       \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun25	~~~ Peryite ~~~                   \nShrine blessing - Resist Disease: Increases Disease Resistance by 25%.                                               \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun26	~~~ Phynaster ~~~                 \nShrine blessing - Fortify Alchemy: Potions and poisons you mix are 10% stronger.                                     \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun27	~~~ Rajhin ~~~                    \nShrine blessing - Fortify Lockpicking: Lockpicking is 10% easier.                                                    \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun28	~~~ Riddle’Thar ~~~               \nShrine blessing - Fortify Unarmed Damage: Unarmed strikes do 10 additional damage.                                   \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun29	~~~ Sanguine ~~~                  \nShrine blessing - Fortify Potions: Using beneficial potions and alchemical ingredients is 15% better.                \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun30	~~~ Satakal ~~~                   \nShrine blessing - Regenerate Health: Regenerate 2% of your maximum Health per second.                                \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun31	~~~ Sheogorath ~~~                \nShrine blessing - ???: Grants a random blessing!                                                                     \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun32	~~~ Shor ~~~                      \nShrine blessing - Elf Slayer: Deal 15% more attack damage and critical damage against elves.                         \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun33	~~~ Sithis ~~~                    \nShrine blessing - Fortify Sneak Attacks: Sneak attacks deal 15% more damage.                                         \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun34	~~~ St. Alessia ~~~               \nShrine blessing - Fortify Followers: Followers within 20 feet gain 50 points of armor and 10% magic resistance.      \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun35	~~~ Stendarr ~~~                  \nShrine blessing - Fortify Block: Block 10% more damage.                                                              \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun36	~~~ Syrabane ~~~                  \nShrine blessing - Regenerate Magicka: Regenerate 2% of your maximum Magicka per second.                              \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun37	~~~ Tall Papa ~~~                 \nShrine blessing - Fortify Enchanting: Items are enchanted 10% stronger.                                              \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun38	~~~ Talos ~~~                     \nShrine blessing - Fortify Shouts: Time between shouts is reduced 20%.                                                \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun39	~~~ The HoonDing ~~~              \nShrine blessing - Fortify Stagger: Stagger from attacks and bashes is 50% more effective.                            \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun40	~~~ The Magna-Ge ~~~              \nShrine blessing - Amplify Alteration: Alteration spells are 10% more effective.                                      \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun41	~~~ The Old Ways ~~~              \nShrine blessing - Animal Slayer: Deal 15% more attack damage and critical damage against animals.                    \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun42	~~~ Trinimac ~~~                  \nShrine blessing - Fortify Two-Handed: You are 10% more effective with two-handed weapons.                            \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun43	~~~ Vaermina ~~~                  \nShrine blessing - Fortify Illusion: Illusion spells cost 10% less to cast.                                           \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun44	~~~ Xarxes ~~~                    \nShrine blessing - Fortify Scrolls: Scrolls are 25% more effective.                                                   \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun45	~~~ Z’en ~~~                      \nShrine blessing - Fortify Alteration: Alteration spells cost 10% less to cast.                                       \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun46	~~~ Zenithar ~~~                  \nShrine blessing - Fortify Smithing: Able to improve items 10% better.                                                \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun47	~~~ Clavicus Vile ~~~             \nShrine blessing - Fortify Conjuration: Conjuration spells cost 10% less to cast.                                     \nClick to see Wintersun Follower and Devotee Information.
$ShrineHighlightWintersun48	~~~ Meridia ~~~                   \nShrine blessing - Amplify Restoration: Restoration spells are 10% more effective.                                    \nClick to see Wintersun Follower and Devotee Information.


$ShrineMessageWintersun00	~~~ Hermaeus Mora ~~~   \n\nFollower - Demon of Knowledge: Find Eldritch Pages on corpses. Similar pages can be bound at a tanning rack to create Eldritch Tomes that improve your magic and shouts. \n\nDevotee - Omniscience: Pray to permanently raise a skill of your choice by one level. Costs 5% favor.
$ShrineMessageWintersun01	~~~ Akatosh ~~~         \n\nFollower - Father of Dragons: Attacks, spells, scrolls, shouts and enchantments are X% better against dragons (based on favor with Akatosh).                             \n\nDevotee - Turn the Hourglass: Praying to Akatosh resets the cooldown of your most recently used shout and power.
$ShrineMessageWintersun02	~~~ Arkay ~~~           \n\nFollower - Chalice of Life: Regenerate up to 5% of your maximum Health per second based on missing Health. Can perform Arkay's Rites.                                    \n\nDevotee - Arkayn Cycle: Revive with full Health upon taking fatal damage. Must pray to use this ability again. Costs 15% favor.
$ShrineMessageWintersun03	~~~ Auriel ~~~          \n\nFollower - Father of Mer: Learn all skills X% faster (based on favor with Auriel).                                                                                       \n\nDevotee - Path to Alaxon: Attaining level 100 in a skill improves that skill by X% (based on favor with Auriel)
$ShrineMessageWintersun04	~~~ Azura ~~~           \n\nFollower - Twilight Shroud: Foes within 40 feet suffer X% reduced magic resistance (based on favor with Azura) and can't absorb spells.                                  \n\nDevotee - Perfume of Moonshadow: Activate a person in combat below X% Health (based on favor with Azura) to paralyze them with 1 Health. Costs 5% favor.
$ShrineMessageWintersun05	~~~ Baan Dar ~~~        \n\nFollower - Pariah: Buying items from other races is X% more expensive, but pickpocketing is X% easier (based on favor with Baan Dar).                                    \n\nDevotee - Skooma Trick: Put skooma bottles in people's inventory, then pray to Baan Dar to ignite them within 200 feet for X damage (based on favor with Baan Dar). Costs 5% favor.
$ShrineMessageWintersun06	~~~ Boethiah ~~~        \n\nFollower - Blood Throne: Your attacks deal X% more damage when fighting only one opponent (based on favor with Boethiah).                                                \n\nDevotee - Assassinate: During prayer, you may invoke superior Daedric Invisibility for 90 seconds. If broken by a sneak attack, it deals 50% more damage. Costs 10% favor.
$ShrineMessageWintersun07	~~~ Dibella ~~~         \n\nFollower - Afterglow: Lover's Comfort (gained by sleeping with one's spouse) also improves all skills by 5%.                                                             \n\nDevotee - Devotee - Dibellan Arts: Activate a person in combat to make them unequip their items and follow you for 90 seconds. Costs 5% favor.
$ShrineMessageWintersun08	~~~ Ebonarm ~~~         \n\nFollower - Enemy of the Daedra: Attacks and critical strikes are X% more effective against daedra and those who summon them (based on favor with Ebonarm).               \n\nDevotee - Raven’s Harvest: Reduces the armor of enemies within 40 feet by X points (based on favor with Ebonarm) and you gain the total amount. Doubled against daedra.
$ShrineMessageWintersun09	~~~ Hircine ~~~         \n\nFollower - Bitter Mercy: Hircine's gift doubles attack damage to living targets with X% or less Health (based on favor with Hircine).                                    \n\nDevotee - Posting of the Hunt: During prayer, invoke a Hunt against the living within 500 feet, revealing them and exposing them to Bitter Mercy. Costs 10% favor.
$ShrineMessageWintersun10	~~~ Jephre ~~~          \n\nFollower - Forest Stride: The unbounded spirit of Jephre increases movement speed by 10% when out of combat.                                                             \n\nDevotee - The Eternal Song: Stamina regenerates very quickly out of combat. Praying to Jephre brings clear weather.
$ShrineMessageWintersun11	~~~ Julianos ~~~        \n\nFollower - Divine Student: Spells cost X% less to cast (based on favor with Julianos).                                                                                   \n\nDevotee - Temple of Logic: Spells and scrolls are X% more effective (based on favor with Julianos).
$ShrineMessageWintersun12	~~~ Jyggalag ~~~        \n\nFollower - Obelisks of Order: Generates 8 Obelisks of Order in Skyrim. Activating one grants 15 points of Health, Magicka and Stamina.                                   \n\nDevotee - Stasis: Activate an opponent in combat to trap them in an inert but invulnerable state for 15 seconds. Costs 5% favor.
$ShrineMessageWintersun13	~~~ Kynareth ~~~        \n\nFollower - Windspeaker: The fierce spirit of Kyne increases movement speed by 10% in combat.                                                                             \n\nDevotee - Kynareth’s Emissary: Pray to Kynareth to summon a sacred Sabre Cat mount. 
$ShrineMessageWintersun14	~~~ Leki ~~~            \n\nFollower - Spirit Sword: Power attacks ignore X% of an opponent's armor (based on favor with Leki).                                                                      \n\nDevotee - Battle Meditation: During prayer, you may spend 5% favor to gain X% melee damage (based on favor with Leki) for 10 minutes or 5 battles. Costs 5% favor.
$ShrineMessageWintersun15	~~~ Magnus ~~~          \n\nFollower - Sight, Light and Insight: Magicka does not regenerate, but praying rapidly replenishes Magicka. Spells cost 75% less to cast.                                 \n\nDevotee - Architect's Gift: Praying, automatically casts the (beneficial self targeted) spells in your hands for no Magicka and they last X% longer (based on favor with Magnus).
$ShrineMessageWintersun16	~~~ Malacath ~~~        \n\nFollower - Deathbringer: Your power attacks deal X% more damage (based on favor with Malacath).                                                                          \n\nDevotee - Bloodsoaked Triumph: When an enemy dies within 40 feet, their killer is healed by X% of the amount of overkill damage dealt (based on favor with Malacath).
$ShrineMessageWintersun17	~~~ Mannimarco ~~~      \n\nFollower - Dark Moon: Undead conjured at night last X% longer (based on favor with Mannimarco).                                                                          \n\nDevotee - Nocturne: Allied conjured undead deal X% more attack damage and regenerate Health (based on favor with Mannimarco).
$ShrineMessageWintersun18	~~~ Mara ~~~            \n\nFollower - Cleansing: Pray to Mara to cure all diseases affecting you or allies within 40 feet.                                                                          \n\nDevotee - Aura of Peace: Living allies within 40 feet are healed X points per second (based on favor with Mara).
$ShrineMessageWintersun19	~~~ Mehrunes Dagon ~~~  \n\nFollower - Self-Immolation: Daedric fire burns your spirit as you pray, draining Magicka. Stop praying at 20% or less to gain more favor and Burning Path activations.   \n\nDevotee - Burning Path: Nearby foes burn for X damage and explode on death for X damage (based on favor with Mehrunes Dagon). Pray to recharge.
$ShrineMessageWintersun20	~~~ Mephala ~~~         \n\nFollower - Secret Murder: Sneak attacks deal X% more damage from behind (based on favor with Mephala).                                                                   \n\nDevotee - Whispers of Betrayal: During prayer, seize control of the nearest person within 75 feet to fight for you. Costs 5% favor.
$ShrineMessageWintersun21	~~~ Molag Bal ~~~       \n\nFollower - Eye of the Storm: Absorbs X Magicka and Stamina per second (based on favor with Molag Bal) from nearby enemies in combat.                                     \n\nDevotee - Dragged to Oblivion: Activate a person in combat to banish them to Coldharbour. Pray to request the items. Costs 15% favor.
$ShrineMessageWintersun22	~~~ Morwha ~~~          \n\nFollower - Healer of the Sands: Praying restores X Health per second for you and nearby allies (based on favor with Morwha).                                             \n\nDevotee - Fertile Growth: Praying to Morwha blesses you with enchanted fruit that restores or fortifies an attribute.
$ShrineMessageWintersun23	~~~ Namira ~~~          \n\nFollower - Creeping Decay: Reduces Poison Resist of all within 40 feet by X% (based on favor with Namira).                                                               \n\nDevotee - Necrophages: Poisoning a person or putting a Human Heart or Flesh into their inventory attracts insects, reducing armor by X% and dealing X disease damage (based on favor with Namira).
$ShrineMessageWintersun24	~~~ Nocturnal ~~~       \n\nFollower - Vanish in the Night: Praying clears non-violent crime bounties up to X gold (based on favor with Nocturnal).                                                  \n\nDevotee - Raven’s Watch: During prayer, you may astrally observe the nearest person within 300 feet.
$ShrineMessageWintersun25	~~~ Peryite ~~~         \n\nFollower - Taskmaster: Learn all skills X% faster (based on favor with Peryite). Pray for Peryite's Gifts to gain favor.                                                 \n\nDevotee - Green Dragon’s Breath: Activate a living opponent in combat to inflict all of Peryite's Gifts you have on the target, plus 5 disease damage per second for each gift. Pray to recharge.
$ShrineMessageWintersun26	~~~ Phynaster ~~~       \n\nFollower - Shorter Strides: Health, Magicka and Stamina regenerate 100% faster when standing still but 50% slower when moving.                                           \n\nDevotee - Elvenpath: During prayer, you may teleport back to the last location where you prayed. Costs 2% favor.
$ShrineMessageWintersun27	~~~ Rajhin ~~~          \n\nFollower - Rajhin’s Tales: Find additional gold in many containers, with a chance to find a large amount of additional gold.                                             \n\nDevotee - Prayer of Unlocking: Pray to Rajhin to break a lock within 20 feet. Costs 5% favor. No effect on locks that can’t be picked.
$ShrineMessageWintersun28	~~~ Riddle’Thar ~~~     \n\nFollower - Path to Llesw’er: All skills are improved X% (based on favor with the Riddle'Thar).                                                                           \n\nDevotee - Beseech the Manes: During prayer, an ancient Mane will grant a blessing they believe to be appropriate for the challenges you are about to face.
$ShrineMessageWintersun29	~~~ Sanguine ~~~        \n\nFollower - Be Merry: Health, Magicka and Stamina regenerate 50% faster while a potion, food item or ingredient is active.                                                \n\nDevotee - Pandemonium: Can pray in combat, forcing the 5 nearest hostile people to dance for 20 seconds. Costs 10% favor.
$ShrineMessageWintersun30	~~~ Satakal ~~~         \n\nFollower - World Egg: Shrine blessings from other gods are X% more effective and last X% longer (based on favor with Satakal).                                           \n\nDevotee - Ouroboros: Pray to become reborn as a different person, moving points between your attributes. Costs 15% favor.
$ShrineMessageWintersun31	~~~ Sheogorath ~~~      \n\nFollower - Touch of Madness: Praying grants a random Touch of Madness. High favor with Sheogorath yields more beneficial effects.                                        \n\nDevotee - Lost to Madness: Receive a Touch of Madness whenever you enter combat.
$ShrineMessageWintersun32	~~~ Shor ~~~            \n\nFollower - Another Name for Freedom: Take X% less attack damage and stagger from elves (based on favor with Shor).                                                       \n\nDevotee - Destiny: When entering combat with a mighty foe, Shor sends a Shield-Thane to assist you. Pray to recharge.
$ShrineMessageWintersun33	~~~ Sithis ~~~          \n\nFollower - Primal Darkness: Up to 25% harder to detect by those within 30 feet. Chance to find Human Hearts on people you kill.                                          \n\nDevotee - Call of the Void: While sneaking, activate a door to briefly turn it into a Void portal. Targets within 60 feet who are not detecting you are pulled in and killed. Costs 5% favor.
$ShrineMessageWintersun34	~~~ St. Alessia ~~~     \n\nFollower - Covenant of Man: Pray for a Divine blessing of your choice. Divine blessings are X% better (based on favor with St. Alessia).                                 \n\nDevotee - Dragonblood Empress: While under the effects of a Divine blessing, can talk to most non-hostile humans to make them a friend and potential follower. Costs 10% favor.
$ShrineMessageWintersun35	~~~ Stendarr ~~~        \n\nFollower - Sacred Resolve: Take X% less attack damage from daedra and undead (based on favor with Stendarr).                                                             \n\nDevotee - Channel Divinity: During prayer, you may spend 10% favor to gain X% improved attack, defense and healing (based on favor with Stendarr) for 5 minutes or 3 battles.
$ShrineMessageWintersun36	~~~ Syrabane ~~~        \n\nFollower -  Knowledge Seeker: You are more likely to find spell tomes and scrolls on enemies you kill.                                                                   \n\nDevotee - Reach for the Stars: Learn all Mage skills X% faster (based on favor with Syrabane).
$ShrineMessageWintersun37	~~~ Tall Papa ~~~       \n\nFollower - Metaphysical Insight: Weapon enchantments drain X% less charge (based on favor with Tall Papa).                                                               \n\nDevotee - Glimpse the Shores: On death, enter an ethereal ascended state. If combat ends within X seconds, brings you back to life (based on favor with Tall Papa) for 10% favor. Pray to reset.
$ShrineMessageWintersun38	~~~ Talos ~~~           \n\nFollower - Stormlord: Attacks, critical strikes and shouts are X% more effective against elves (based on favor with Talos).                                              \n\nDevotee - Dragon of the North: Your remaining shout cooldown is halved whenever an enemy dies within 40 feet.
$ShrineMessageWintersun39	~~~ The HoonDing ~~~    \n\nFollower - Make Way: Staggering an opponent reduces armor by X points for 5 seconds (based on favor with the HoonDing).                                                  \n\nDevotee - Perseverance: X% chance to resist stagger from attacks and bashes (based on favor with the HoonDing).
